,tune,dataset
0,10000_brian_quinns,train
1,10001_three_half_tunes,train
2,10002_mogi_laddyr,test
3,10003_childgrove,train
4,10004_cit_n_dhuibhir,validation
5,10005_nos_wener,train
6,10006_cluck_old_hen,train
7,10007_bethanys,train
8,10008_the_banks_of_the_deveron,train
9,10009_johns_tune,train
10,1000_the_bridal,train
11,10010_hynes,train
12,10011_friday_harbor,train
13,10012_my_old_aunt_sally,train
14,10013_g-,validation
15,10014_the_crackin_fiddle,test
16,10015_the_celtic_crane,test
17,10016_the_cracked_pot,train
18,10017_youre_welcome_home_royal_charlie,train
19,10018_the_hawthorn_bush,train
20,1001_sleep_soond_ida_mornin,train
21,10020_the_impish,train
22,10021_les_doigts_de_carmen,train
23,10022_holywell,train
24,10023_jock_browns_70th,test
25,10024_bubbling_wine,train
26,10025_malt_on_the_optics,train
27,10026_the_limerick_redowa,train
28,10027_news_of_the_victory,train
29,10028_son_of_a_bear,train
30,10029_colonel_maclean_of_ardgour,train
31,1002_big_john_macneill,train
32,10030_the_dirty_bee,train
33,10031_planxty_hugh_odonnell,train
34,10032_greenaghan_viaduct,train
35,10033_the_hills_of_alva,train
36,10034_highlanders_return,train
37,10035_a_jig_for_sarah,validation
38,10036_tour_25,train
39,10037_the_jubilant_goat,train
40,10038_40_year,train
41,10039_planxty_burke,test
42,1003_the_butchers_fancy,train
43,10041_the_fiddle_player,test
44,10044_gan_ainm,train
45,10045_cape_breton,validation
46,10046_deildy_aberteifi,train
47,10047_the_reunion,validation
48,10048_the_turf_lodge,test
49,1004_the_tempest,validation
50,10050_horseshoes_and_rainbows,train
51,10051_handy_with_the_bottle,validation
52,10052_the_steamroller_macteiges,train
53,10053_sterling_tom,train
54,10054_bull_pup,validation
55,10056_were_a_case_the_bunch_of_us,train
56,10057_walter_bulwers,validation
57,10059_walter_bulwers,train
58,1005_john_crossey,train
59,10060_gan_ainm,validation
60,10061_jimmy_mackinnon_of_smelt_brook,train
61,10062_la_jolie_bateliere,train
62,10063_pilling_moss,train
63,10064_here_we_come_a-wassailing,test
64,10065_valse_astrid,train
65,10066_the_german,train
66,10067_the_fiddlers_farewell,test
67,1006_the_grumbling_old_man_and_woman,train
68,10071_the_red-haired_rafter,train
69,10072_caught_in_the_net,validation
70,10073_ryans,train
71,10074_the_foot_that_faltered,train
72,10075_waltz_quadrille,validation
73,10076_the_genetic_hambo,train
74,10077_willies_fling,test
75,10078_macquellins,train
76,10079_lair_des_ebenistes,train
77,10080_pays_de_haut,train
78,10081_whitestrand_sling,train
79,10082_reel_des_cigarettes,train
80,10083_ostroushkos,train
81,10084_president_nixons,train
82,10085_leaning_tower,train
83,10086_peter_ostroushkos,train
84,10087_the_boozehound,train
85,10088_the_yuletide_log,train
86,10089_the_clocktower,train
87,1008_the_mill_quay,train
88,10090_the_paris,train
89,10091_the_west_clare_railway,train
90,10092_the_potato_on_the_door,test
91,10093_miss_stewart_of_grantully,train
92,10094_thomas_farewell,train
93,10095_the_march_of_saint_timothy,train
94,10096_bridgie_con_matts,train
95,10097_perpetual_check,train
96,10098_the_slow_train,train
97,10099_russian_two-step,train
98,1009_paddy_cronins,train
99,10100_the_mull_rant,train
100,10101_cherline_chase,train
101,10102_er_pasker,train
102,10103_one_to_follow_it_with,validation
103,10104_lord_of_carnarvans_jigg,train
104,10105_hey_johnny_cope,train
105,10106_fitchrona,test
106,10107_brendan_mulvihills_choice,train
107,10108_you_broke_my_cup_and_my_saucer,train
108,10109_eleventh_of_october,test
109,1010_the_wheels_of_the_world,test
110,10110_micks_delight,train
111,10111_the_echoing_strings,train
112,10112_korolenko,train
113,10114_da_kirk_stack,train
114,10116_top_the_candle,test
